school_year,lea_code,school_type,school_code,school_name,official_school_name,address_line1,address_line2,city,state,zip_code_5,opening_effective_date,grade_level_current,school_type_description,school_program_type_description,school_calendar_description
2013-14,00A,charter,00A000,NC Connections Academy,North Carolina Connections Academy,2700 Meridian Parkway,Suite 300,Durham,NC,27713,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,00B,charter,00B000,NC Virtual Academy,NC Virtual Academy,4220 NC Highway 55,Suite 130,Durham,NC,27713,07/01/2015,KG:01:02:03:04:05:06:07:08:09:10:11,,,
2013-14,01B,charter,01B000,River Mill Academy,River Mill Academy,235 Cheeks Lane,,Graham,NC,27253,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,01C,charter,01C000,Clover Garden,Clover Garden,2454 Altamhaw Union Ridge Road,,Burlington,NC,27217,06/30/2001,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,01D,charter,01D000,The Hawbridge School,The Hawbridge School,1735 Saxapahaw Bethlehem Church Rd,,Saxapahaw,NC,27340,07/01/2004,05:06:07:08:09:10:11:12,,,
2013-14,06A,charter,06A000,Grandfather Academy,Grandfather Academy,158 Grandfather Home Drive,,Banner Elk,NC,28604,06/30/1997,01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,06B,charter,06B000,Williams Academy,Marjorie Williams Academy,129 Allen Circle,,Crossnore,NC,28616,06/30/1999,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,07A,charter,07A000,Washington Montessori,Washington Montessori Public Charter School,2330 Old Bath Hwy,,Washington,NC,27889,06/30/2000,KG:01:02:03:04:05:06:07:08:09:10:11,,,
2013-14,08A,charter,08A000,Heritage Collegiate Leadership Academy,Heritage Collegiate Leadership Academy,118-B County Farm Road,,Windsor,NC,27983,07/01/2014,KG:01:02:03:04:05,,,
2013-14,09A,charter,09A000,Paul R Brown Leadership Academy,Paul R Brown Leadership Academy,1300 Martin L King Jr Dr,,Elizabethtown,NC,28337,07/01/2013,06:07:08:09:10:11:12,,,
2013-14,10A,charter,10A000,Charter Day School,Charter Day School,7055 Bacon's Way,,Leland,NC,28451,06/30/2000,KG:01:02:03:04:05:06:07:08,,,
2013-14,10B,charter,10B000,South Brunswick Charter School,South Brunswick Charter School,2260 Achievement Ave SE,,Bolivia,NC,28422,07/01/2014,KG:01:02:03:04,,,
2013-14,11A,charter,11A000,Evergreen Community Charter,Evergreen Community Charter,50 Bell Road,,Asheville,NC,28805,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,11B,charter,11B000,ArtSpace Charter School,ArtSpace Charter School,2030 US Hwy 70,,Swannanoa,NC,28778,06/30/2001,KG:01:02:03:04:05:06:07:08,,,
2013-14,11C,charter,11C000,Invest Collegiate - Imagine,Invest Collegiate (Buncombe),1000 Brevard Road,Suite 175,Asheville,NC,28806,07/01/2014,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,11D,charter,11D000,The Franklin School of Innovation,The Franklin School of Innovation,21 Innovation Drive,,Asheville,NC,28806,07/01/2014,06:07:08:09:10:11,,,
2013-14,11K,charter,11K000,Francine Delany New School,Francine Delany New School for Children,119 Brevard Road,,Asheville,NC,28806,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,12A,charter,12A000,New Dimensions,The New Dimensions School,550 Lenoir Road,,Morganton,NC,28655,06/30/2001,KG:01:02:03:04:05:06:07:08,,,
2013-14,13A,charter,13A000,Carolina International School,Carolina International School,9545 Poplar Tent Road,,Concord,NC,28027,07/01/2004,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,13B,charter,13B000,Cabarrus Charter Academy,sCabarrus Charter Academy,355 Poplar Crossing Drive NW,,Concord,NC,28027,07/01/2013,KG:01:02:03:04:05:06:07:08:09:10,,,
2013-14,13C,charter,13C000,A.C.E. Academy,A.C.E. Academy,7807 Caldwell Road,,Harrisburg,NC,28075,07/01/2014,KG:01:02:03:04:05:06:07,,,
2013-14,13D,charter,13D000,Kannapolis Charter Academy,Kannapolis Charter Academy,1911 Concord Lake Road,,Kannapolis,NC,28083,07/01/2016,KG:01:02:03:04:05:06,,,
2013-14,16B,charter,16B000,Tiller School,Tiller School,1950 Hwy 70E,,Beaufort,NC,28516,06/30/1998,KG:01:02:03:04:05,,,
2013-14,19A,charter,19A000,Chatham Charter,Chatham Charter,2200 Hamp Stone Rd,,Siler City,NC,27344,06/30/1997,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,19B,charter,19B000,Woods Charter,Woods Charter,160 Woodland Grove Ln,,Chapel Hill,NC,27516,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,19C,charter,19C000,Willow Oak Montessori,Willow Oak Montessori,50101 Governors Dr,Suite 170,Chapel Hill,NC,27517,07/01/2013,01:02:03:04:05:06,,,
2013-14,20A,charter,20A000,The Learning Center,The Learning Center,945 Conaheeta Street,,Murphy,NC,28906,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,23A,charter,23A000,Pinnacle Classical Academy,Pinnacle Classical Academy,900 S Post Rd,,Shelby,NC,28152,07/01/2013,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,24B,charter,24B000,Flemington Academy,Flemington Academy,400Flemington Dr.,,Lake Waccamaw,NC,28450,07/01/2013,06:07:08:09:10:11:12,,,
2013-14,24N,charter,24N000,Columbus Charter School,Columbus Charter School,35 Bacon's Way,,Whiteville,NC,28472,07/01/2008,KG:01:02:03:04:05:06:07:08,,,
2013-14,26B,charter,26B000,Alpha Academy,Alpha Academy,8030 Raeford Road,,Fayetteville,NC,28304,06/27/2000,KG:01:02:03:04:05:06:07:08:09,,,
2013-14,26C,charter,26C000,The Capitol Encore Academy,The Capitol Encore Academy,126 Hay Street,,Fayetteville,NC,28301,07/01/2014,KG:01:02:03:04:05:06:07,,,
2013-14,27A,charter,27A000,Water's Edge Village School,Water's Edge Village School,1126 Schoolhouse Lane,,Corolla,NC,27927,07/01/2012,KG:01:02:03:04:05:06:07,,,
2013-14,32A,charter,32A000,Maureen Joy Charter School,Maureen Joy Charter School,107 South Driver Street,,Durham,NC,27703,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,32B,charter,32B000,Healthy Start Academy,Healthy Start Academy,807 West Chapel Hill Street,,Durham,NC,27701,06/30/1997,KG:01:02:03:04:05:06:07:08,,,
2013-14,32C,charter,32C000,Carter Community Charter,"Carter Community Charter School, Inc.",1955 West Cornwallis Road,,Durham,NC,27705,06/30/1998,KG:01:02:03:04:05:06:07:08,,,
2013-14,32D,charter,32D000,Kestrel Heights School,Kestrel Heights School,4700 S Alston Ave,,Durham,NC,27713,06/30/1998,KG:01:02:03:04:05:06:07:08:09:10:11:12,,,
2013-14,32H,charter,32H000,Research Triangle Charter,Research Triangle Charter Academy,2418 Ellis Road,,Durham,NC,27703,06/30/1999,KG:01:02:03:04:05:06:07:08,,,
2013-14,32K,charter,32K000,Central Park School For Child,Central Park School for Children,724 Foster Street,,Durham,NC,27701,06/30/2003,KG:01:02:03:04:05:06:07:08,,,
