school_year,school_code,school_name,total_resident_children,number_low_income_students,percent_low_income_students,served_1st_year,is_title_I
2015-16,740302,A G Cox Middle,840.0,368.0,43.81,,True
2015-16,650384,A H Snipes Academy of Arts/Des,466.0,466.0,100.0,2005-06,True
2015-16,132304,A L Brown High,1409.0,852.0,60.47,,True
2015-16,680304,A L Stanback Middle,644.0,320.0,49.69,,True
2015-16,130304,A T Allen Elementary,901.0,562.0,62.38,2006-07,True
2015-16,13C000,A.C.E. Academy,143.0,60.0,41.96,2014-15,True
2015-16,920303,Abbotts Creek Elementary,619.0,161.0,26.01,,True
2015-16,630308,Aberdeen Elementary,321.0,256.0,79.75,2005-06,True
2015-16,630304,Aberdeen Primary,362.0,279.0,77.07,2005-06,True
2015-16,240308,Acme Delco Elementary,342.0,318.0,92.98,2006-07,True
2015-16,240304,Acme Delco Middle,140.0,120.0,85.71,2004-05,True
2015-16,920304,Adams Elementary,803.0,347.0,43.21,2010-11,True
2015-16,460308,Ahoskie Elementary,517.0,517.0,100.0,2004-05,True
2015-16,410304,Alamance Elementary,502.0,131.0,26.1,,True
2015-16,010303,Alamance-Burlington Middle College,81.0,23.0,28.4,,True
2015-16,840302,Albemarle High,419.0,298.0,71.12,,True
2015-16,840303,Albemarle Middle,414.0,317.0,76.57,2013-14,True
2015-16,600300,Albemarle Road Elementary,1385.0,930.0,67.15,2004-05,True
2015-16,600301,Albemarle Road Middle,1207.0,708.0,58.66,2004-05,True
2015-16,250304,Albert H Bangert Elementary,332.0,204.0,61.45,2006-07,True
2015-16,260364,Alderman Road Elementary,652.0,435.0,66.72,2002-03,True
2015-16,020302,Alexander Central High,1350.0,595.0,44.07,,True
2015-16,600399,Alexander Graham Middle,1434.0,422.0,29.43,,True
2015-16,010304,Alexander Wilson Elementary,541.0,262.0,48.43,,True
2015-16,260374,Alger B. Wilkins High School PLC,155.0,123.0,79.35,,True
2015-16,030304,Alleghany High,427.0,229.0,53.63,,True
2015-16,410310,Allen Jay Elementary,454.0,291.0,64.1,2006-07,True
2015-16,410311,"Allen Jay Middle, A Preparatory Academy",187.0,83.0,44.39,2014-15,True
2015-16,410316,Allen Middle,704.0,410.0,58.24,2007-08,True
2015-16,600308,Allenbrook Elementary,590.0,445.0,75.42,2002-03,True
2015-16,260302,Alma O Easom Elementary,302.0,142.0,47.02,2014-15,True
2015-16,26B000,Alpha Academy,660.0,534.0,80.91,2005-06,True
2015-16,920307,Alston Ridge Elementary,1065.0,84.0,7.89,,True
2015-16,010308,Altamahaw Ossipee Elem,554.0,258.0,46.57,,True
2015-16,49B000,American Renaissance School,543.0,144.0,26.52,2006-07,True
2015-16,43C000,Anderson Creek Club Charter School,224.0,11.0,4.91,,True
2015-16,430304,Anderson Creek Primary,530.0,343.0,64.72,2005-06,True
2015-16,200304,Andrews Elementary,352.0,352.0,100.0,2006-07,True
2015-16,200308,Andrews High,257.0,150.0,58.37,,True
2015-16,200310,Andrews Middle,213.0,149.0,69.95,,True
2015-16,430308,Angier Elementary,444.0,333.0,75.0,2005-06,True
2015-16,260336,Anne Chesnutt Middle,509.0,359.0,70.53,,True
2015-16,040305,Anson Academy,77.0,77.0,100.0,,True
2015-16,040304,Anson Co. Early College High,187.0,154.0,82.35,,True
2015-16,040306,Anson High School,672.0,672.0,100.0,,True
2015-16,040309,Anson Middle,591.0,591.0,100.0,,True
2015-16,040700,Anson New Tech High,148.0,148.0,100.0,,True
2015-16,040308,Ansonville Elementary,241.0,241.0,100.0,2006-07,True
2015-16,900302,Antioch Elementary,755.0,60.0,7.95,,True
2015-16,920308,Apex Elementary,704.0,241.0,34.23,,True
2015-16,920317,Apex Friendship High,918.0,128.0,13.94,,True
2015-16,920316,Apex High,2526.0,234.0,9.26,,True
2015-16,920312,Apex Middle,1197.0,238.0,19.88,,True
2015-16,450301,Apple Valley Middle,901.0,606.0,67.26,,True
2015-16,840304,Aquadale Elementary,301.0,166.0,55.15,2006-07,True
2015-16,69A000,Arapahoe Charter School,563.0,316.0,56.13,2006-07,True
2015-16,760304,Archdale Elementary,378.0,241.0,63.76,2006-07,True
2015-16,760378,Archdale-Trinity Middle,838.0,400.0,47.73,,True
2015-16,410322,Archer Elementary,453.0,259.0,57.17,2005-06,True
2015-16,510364,Archer Lodge Middle,1060.0,437.0,41.23,,True
2015-16,600302,Ardrey Kell High,2683.0,139.0,5.18,,True
2015-16,60N000,Aristotle Preparatory Academy,140.0,120.0,85.71,2013-14,True
2015-16,260306,Armstrong Elementary,422.0,281.0,66.59,2006-07,True
2015-16,250380,Arthur W Edwards Elementary,354.0,208.0,58.76,2006-07,True
2015-16,11B000,ArtSpace Charter School,387.0,170.0,43.93,2006-07,True
2015-16,550308,Asbury Academy,49.0,48.0,97.96,,True
2015-16,360310,Ashbrook High,1417.0,835.0,58.93,,True
2015-16,050302,Ashe County High,900.0,481.0,53.44,,True
2015-16,050305,Ashe County Middle,498.0,313.0,62.85,,True
2015-16,761304,Asheboro High,1269.0,827.0,65.17,,True
2015-16,111302,Asheville High,1069.0,430.0,40.22,,True
2015-16,111356,Asheville Middle,715.0,344.0,48.11,,True
2015-16,340308,Ashley Academy,537.0,537.0,100.0,2005-06,True
2015-16,770342,Ashley Chapel Educational Center,132.0,132.0,100.0,2014-15,True
2015-16,260308,Ashley Elementary,230.0,143.0,62.17,2006-07,True
2015-16,600311,Ashley Park PreK-8 School,623.0,516.0,82.83,2006-07,True
2015-16,920318,Athens Drive High,1893.0,727.0,38.4,,True
2015-16,340311,Atkins Academic & Tech High,585.0,142.0,24.27,,True
2015-16,450302,Atkinson Elementary,380.0,178.0,46.84,2006-07,True
2015-16,160304,Atlantic Elementary,66.0,37.0,56.06,2006-07,True
2015-16,080348,Aulander Elementary,160.0,160.0,100.0,2006-07,True
2015-16,420304,Aurelian Springs Elementary,399.0,399.0,100.0,2005-06,True
2015-16,920320,Aversboro Elementary,577.0,355.0,61.53,2006-07,True
2015-16,060302,Avery County High,384.0,200.0,52.08,,True
2015-16,060700,Avery High STEM Academy,177.0,82.0,46.33,,True
2015-16,060701,Avery High Viking Academy,179.0,59.0,32.96,,True
2015-16,060318,Avery Middle,288.0,168.0,58.33,2009-10,True
2015-16,110410,Avery's Creek Elementary,634.0,445.0,70.19,2005-06,True
2015-16,910304,Aycock Elementary,371.0,226.0,60.92,2006-07,True
2015-16,410325,Aycock Middle,606.0,329.0,54.29,2009-10,True
2015-16,740304,Ayden Elementary,687.0,443.0,64.48,2006-07,True
2015-16,740308,Ayden Middle,326.0,198.0,60.74,,True
2015-16,740309,Ayden-Grifton High,670.0,297.0,44.33,,True
2015-16,070310,B C Ed Tech Center,70.0,70.0,100.0,,True
2015-16,010346,B Everett Jordan Elem,407.0,242.0,59.46,2006-07,True
2015-16,310304,B F Grady Elementary,976.0,752.0,77.05,2005-06,True
2015-16,980308,B O Barnes Elementary,407.0,407.0,100.0,2006-07,True
2015-16,090304,B T Washington Primary,224.0,174.0,77.68,2004-05,True
2015-16,840308,Badin Elementary,447.0,278.0,62.19,2002-03,True
2015-16,640304,Bailey Elementary,639.0,511.0,79.97,2006-07,True
2015-16,600313,Bailey Middle,1635.0,197.0,12.05,,True
2015-16,920326,Baileywick Road Elementary,478.0,271.0,56.69,2009-10,True
2015-16,600314,Bain Elementary,911.0,118.0,12.95,,True
2015-16,995304,Bald Creek Elementary,176.0,103.0,58.52,2006-07,True
2015-16,450343,Balfour Education Center,157.0,128.0,81.53,,True
2015-16,761312,Balfour Elementary,545.0,500.0,91.74,2004-05,True
2015-16,600437,Ballantyne Elementary,863.0,81.0,9.39,,True
2015-16,920327,Ballentine Elementary,487.0,155.0,31.83,,True
2015-16,180304,Balls Creek Elementary,610.0,328.0,53.77,2013-14,True
2015-16,180308,Bandys High,866.0,297.0,34.3,,True
2015-16,540304,Banks Elementary,573.0,282.0,49.21,2006-07,True
2015-16,920325,Banks Road Elementary,730.0,238.0,32.6,,True
2015-16,060304,Banner Elk Elementary,184.0,103.0,55.98,2009-10,True
2015-16,180312,Banoak Elementary,300.0,173.0,57.67,2006-07,True
2015-16,110308,Barnardsville Elementary,144.0,99.0,68.75,2006-07,True
2015-16,600328,Barnette Elementary,704.0,115.0,16.34,,True
2015-16,600316,Barringer Academic Center,633.0,331.0,52.29,2015-16,True
2015-16,170316,Bartlett Yancey High,751.0,435.0,57.92,,True
2015-16,920329,Barwell Road Elementary,894.0,711.0,79.53,2006-07,True
2015-16,640306,Baskerville Elementary,403.0,403.0,100.0,2006-07,True
2015-16,070308,Bath Elementary,587.0,235.0,40.03,2005-06,True
2015-16,140304,Baton Elementary,424.0,290.0,68.4,2006-07,True
2015-16,550312,Battleground Elementary,315.0,315.0,100.0,2005-06,True
2015-16,920328,Baucom Elementary,947.0,172.0,18.16,,True
2015-16,58B000,Bear Grass,329.0,43.0,13.07,,True
2015-16,460312,Bearfield Primary,806.0,806.0,100.0,2006-07,True
2015-16,070311,Beaufort Co Early College High,218.0,96.0,44.04,,True
2015-16,160308,Beaufort Elementary,467.0,317.0,67.88,2006-07,True
2015-16,160310,Beaufort Middle,266.0,148.0,55.64,,True
2015-16,260312,Beaver Dam Elementary,93.0,54.0,58.06,2006-07,True
2015-16,980318,Beddingfield High,708.0,496.0,70.06,,True
2015-16,995308,Bee Log Elementary,55.0,33.0,60.0,2006-07,True
2015-16,110332,Bell Elementary,296.0,177.0,59.8,2006-07,True
2015-16,670304,Bell Fork Elementary,518.0,328.0,63.32,2006-07,True
2015-16,360320,Belmont Central Elementary,680.0,200.0,29.41,,True
2015-16,421304,Belmont Elementary School,627.0,550.0,87.72,2009-10,True
2015-16,360324,Belmont Middle,725.0,263.0,36.28,,True
2015-16,100302,Belville Elementary,779.0,442.0,56.74,2002-03,True
2015-16,740310,Belvoir Elementary,504.0,504.0,100.0,2004-05,True
2015-16,250306,Ben D Quinn Elementary,507.0,259.0,51.08,2006-07,True
2015-16,410544,Ben L. Smith High School,1231.0,723.0,58.73,2010-11,True
2015-16,430312,Benhaven Elementary,495.0,337.0,68.08,2005-06,True
2015-16,260414,Benjamin J Martin Elementary,542.0,531.0,97.97,2006-07,True
2015-16,190304,Bennett School,217.0,86.0,39.63,,True
2015-16,510308,Benson Elementary,637.0,470.0,73.78,2006-07,True
2015-16,510310,Benson Middle,439.0,307.0,69.93,2012-13,True
2015-16,900304,Benton Heights Elementary,622.0,557.0,89.55,2006-07,True
2015-16,640308,Benvenue Elementary,703.0,703.0,100.0,2006-07,True
2015-16,600369,Berewick Elementary,644.0,203.0,31.52,,True
2015-16,600319,Berryhill School,719.0,393.0,54.66,2009-10,True
2015-16,080311,Bertie Early College High,153.0,153.0,100.0,2014-15,True
2015-16,080312,Bertie High,474.0,474.0,100.0,2009-10,True
2015-16,080314,Bertie Middle,611.0,611.0,100.0,2006-07,True
2015-16,080700,Bertie STEM High,119.0,119.0,100.0,2014-15,True
2015-16,360332,Bessemer City Central Elem,462.0,462.0,100.0,2005-06,True
2015-16,360336,Bessemer City High,621.0,394.0,63.45,,True
2015-16,360436,Bessemer City Middle,541.0,515.0,95.19,2010-11,True
2015-16,360338,Bessemer City Primary,480.0,467.0,97.29,2005-06,True
2015-16,410328,Bessemer Elementary,512.0,410.0,80.08,2002-03,True
2015-16,79A000,Bethany Community Middle,250.0,61.0,24.4,2015-16,True
2015-16,790302,Bethany Elementary,430.0,121.0,28.14,,True
2015-16,130308,Bethel Elementary,619.0,274.0,44.26,,True
2015-16,440314,Bethel Elementary,508.0,303.0,59.65,2006-07,True
2015-16,740320,Bethel Elementary,329.0,172.0,52.28,2002-03,True
2015-16,950308,Bethel Elementary,170.0,93.0,54.71,2006-07,True
2015-16,73A000,Bethel Hill Charter,397.0,139.0,35.01,2006-07,True
2015-16,440318,Bethel Middle,290.0,152.0,52.41,,True
2015-16,320304,Bethesda Elementary,678.0,570.0,84.07,2002-03,True
2015-16,020304,Bethlehem Elementary,482.0,170.0,35.27,2013-14,True
2015-16,230304,Bethware Elementary,424.0,276.0,65.09,2006-07,True
2015-16,310308,Beulaville Elementary,1017.0,603.0,59.29,2002-03,True
2015-16,130309,Beverly Hills Elementary,354.0,232.0,65.54,2006-07,True
2015-16,600322,Beverly Woods Elementary,786.0,103.0,13.1,,True
2015-16,260367,Bill Hefner Elementary,810.0,556.0,68.64,2006-07,True
2015-16,600335,Billingsville Elementary,632.0,471.0,74.53,2002-03,True
2015-16,110318,Black Mountain Elementary,211.0,110.0,52.13,2006-07,True
