,prc,lea,expend,fiscal_year
0,001,010,52028565.47,2013-14
1,001,020,13168252.79,2013-14
2,001,030,3709357.15,2013-14
3,001,040,8763052.22,2013-14
4,001,050,8226000.22,2013-14
5,001,060,5576871.13,2013-14
6,001,070,17182656.4,2013-14
7,001,080,6413737.85,2013-14
8,001,090,11806658.02,2013-14
9,001,100,30046092.8,2013-14
10,001,110,62138001.3,2013-14
11,001,111,10939690.87,2013-14
12,001,120,31259441.35,2013-14
13,001,130,69464988.82,2013-14
14,001,132,12863207.23,2013-14
15,001,140,31453009.88,2013-14
16,001,150,4816603.36,2013-14
17,001,160,21991800.81,2013-14
18,001,170,7016442.38,2013-14
19,001,180,41764587.11,2013-14
20,001,181,10434806.82,2013-14
21,001,182,6898731.76,2013-14
22,001,190,19443937.16,2013-14
23,001,200,8536947.72,2013-14
24,001,210,5729555.91,2013-14
25,001,220,3544571.83,2013-14
26,001,230,38344055.03,2013-14
27,001,240,14595378.24,2013-14
28,001,241,6026487.74,2013-14
29,001,250,34296202.88,2013-14
30,001,260,117171007.45,2013-14
31,001,270,9315859.99,2013-14
32,001,280,13796415.65,2013-14
33,001,290,46597213.96,2013-14
34,001,291,7259643.55,2013-14
35,001,292,5865194.65,2013-14
36,001,300,16109512.58,2013-14
37,001,310,21041232.49,2013-14
38,001,320,82236207.46,2013-14
39,001,330,14633529.75,2013-14
40,001,340,135294263.88,2013-14
41,001,350,20289330.73,2013-14
42,001,360,72653772.78,2013-14
43,001,370,4285623.19,2013-14
44,001,380,3014646.28,2013-14
45,001,390,19417758.31,2013-14
46,001,400,7096920.09,2013-14
47,001,410,170781295.99,2013-14
48,001,420,7861663.25,2013-14
49,001,421,7681883.23,2013-14
50,001,422,2247934.34,2013-14
51,001,430,45621954.72,2013-14
52,001,440,18277316.8,2013-14
53,001,450,33906815.78,2013-14
54,001,460,7521091.74,2013-14
55,001,470,18871274.68,2013-14
56,001,480,1919286.35,2013-14
57,001,490,49254529.12,2013-14
58,001,491,13909600.05,2013-14
59,001,500,8588957.13,2013-14
60,001,510,77840280.95,2013-14
61,001,520,3123915.82,2013-14
62,001,530,23404632.14,2013-14
63,001,540,21339639.03,2013-14
64,001,550,28134069.52,2013-14
65,001,560,11146091.11,2013-14
66,001,570,6316497.01,2013-14
67,001,580,8784286.68,2013-14
68,001,590,15541536.45,2013-14
69,001,600,326004341.65,2013-14
70,001,610,5349018.22,2013-14
71,001,620,9822415.75,2013-14
72,001,630,30710834.64,2013-14
73,001,640,38209371.44,2013-14
74,001,650,62946042.41,2013-14
75,001,660,5066256.02,2013-14
76,001,670,57674005.53,2013-14
77,001,680,19029980.44,2013-14
78,001,681,28763176.5,2013-14
79,001,690,2955078.15,2013-14
80,001,700,13495840.25,2013-14
81,001,710,19881444.19,2013-14
82,001,720,4357692.79,2013-14
83,001,730,11084065.64,2013-14
84,001,740,56164484.35,2013-14
85,001,750,6140812.59,2013-14
86,001,760,42142057.18,2013-14
87,001,761,11051318.55,2013-14
88,001,770,17686410.63,2013-14
89,001,780,55356608.07,2013-14
90,001,790,33043717.13,2013-14
91,001,800,47240132.44,2013-14
92,001,810,20620224.27,2013-14
93,001,820,20143059.07,2013-14
94,001,821,7257126.8,2013-14
95,001,830,15434194.68,2013-14
96,001,840,21699853.69,2013-14
97,001,850,16238205.47,2013-14
98,001,860,20562010.16,2013-14
99,001,861,3292134.19,2013-14
100,001,862,4182292.17,2013-14
101,001,870,4862620.44,2013-14
102,001,880,9012001.68,2013-14
103,001,890,1542345.82,2013-14
104,001,900,94779952.05,2013-14
105,001,910,15270213.62,2013-14
106,001,920,369114838.18,2013-14
107,001,930,5451745.08,2013-14
108,001,940,3977074.88,2013-14
109,001,950,11785229.07,2013-14
110,001,960,44938479.96,2013-14
111,001,970,22932380.22,2013-14
112,001,980,29753070.32,2013-14
113,001,990,13781542.3,2013-14
114,001,995,5651228.18,2013-14
115,002,010,1151502.0,2013-14
116,002,020,648916.0,2013-14
117,002,030,507337.0,2013-14
118,002,040,489798.0,2013-14
119,002,050,598868.0,2013-14
120,002,060,613277.81,2013-14
121,002,070,864582.0,2013-14
122,002,080,684660.62,2013-14
123,002,090,851751.0,2013-14
124,002,100,809104.0,2013-14
125,002,110,1292989.0,2013-14
126,002,111,510821.0,2013-14
127,002,120,963283.0,2013-14
128,002,130,1067164.0,2013-14
129,002,132,509474.0,2013-14
130,002,140,876273.0,2013-14
131,002,150,500113.37,2013-14
132,002,160,736724.0,2013-14
133,002,170,602181.11,2013-14
134,002,180,985375.02,2013-14
135,002,181,515966.0,2013-14
136,002,182,471799.0,2013-14
137,002,190,703305.0,2013-14
138,002,200,591508.28,2013-14
139,002,210,634771.0,2013-14
140,002,220,494899.12,2013-14
141,002,230,1066789.0,2013-14
142,002,240,727686.0,2013-14
143,002,241,474124.0,2013-14
144,002,250,967509.0,2013-14
145,002,260,2049125.0,2013-14
146,002,270,554764.0,2013-14
147,002,280,638077.0,2013-14
148,002,290,1106812.0,2013-14
149,002,291,479042.0,2013-14
150,002,292,452293.0,2013-14
151,002,300,621064.0,2013-14
152,002,310,733608.0,2013-14
153,002,320,1386552.0,2013-14
154,002,330,786702.0,2013-14
155,002,340,1751593.0,2013-14
156,002,350,715457.47,2013-14
157,002,360,1429956.0,2013-14
158,002,370,602988.0,2013-14
159,002,380,516097.04,2013-14
160,002,390,695023.0,2013-14
161,002,400,558456.0,2013-14
162,002,410,2317684.0,2013-14
163,002,420,687105.72,2013-14
164,002,421,489910.54,2013-14
165,002,422,429685.0,2013-14
166,002,430,1007640.0,2013-14
167,002,440,814053.0,2013-14
168,002,450,849508.0,2013-14
169,002,460,647053.0,2013-14
170,002,470,665017.0,2013-14
171,002,480,489553.0,2013-14
172,002,490,1002868.0,2013-14
173,002,491,494371.0,2013-14
174,002,500,606554.0,2013-14
175,002,510,1058358.0,2013-14
176,002,520,551316.0,2013-14
177,002,530,748417.0,2013-14
178,002,540,871393.0,2013-14
179,002,550,821672.75,2013-14
180,002,560,574746.0,2013-14
181,002,570,637579.0,2013-14
182,002,580,609751.0,2013-14
183,002,590,826496.71,2013-14
184,002,600,3386566.0,2013-14
185,002,610,545715.02,2013-14
186,002,620,616716.0,2013-14
187,002,630,880683.0,2013-14
188,002,640,1083101.01,2013-14
189,002,650,1164296.56,2013-14
190,002,660,621788.16,2013-14
191,002,670,1154393.0,2013-14
192,002,680,705199.0,2013-14
193,002,681,679037.0,2013-14
194,002,690,682504.0,2013-14
195,002,700,758518.63,2013-14
196,002,710,628961.89,2013-14
197,002,720,545537.87,2013-14
198,002,730,650267.74,2013-14
199,002,740,1145046.0,2013-14
200,002,750,528278.0,2013-14
201,002,760,1006674.28,2013-14
202,002,761,510101.63,2013-14
203,002,770,806147.0,2013-14
204,002,780,1137829.18,2013-14
205,002,790,972215.2,2013-14
206,002,800,1126464.0,2013-14
207,002,810,813054.0,2013-14
208,002,820,701368.14,2013-14
209,002,821,470845.79,2013-14
210,002,830,738902.0,2013-14
211,002,840,831964.0,2013-14
212,002,850,720952.0,2013-14
213,002,860,717943.0,2013-14
214,002,861,393600.0,2013-14
215,002,862,456834.49,2013-14
216,002,870,588001.92,2013-14
217,002,880,645151.28,2013-14
218,002,890,496943.0,2013-14
219,002,900,1107140.0,2013-14
220,002,910,835390.76,2013-14
221,002,920,3231364.0,2013-14
222,002,930,583467.0,2013-14
223,002,940,655539.0,2013-14
224,002,950,605573.0,2013-14
225,002,960,1119145.0,2013-14
226,002,970,847945.0,2013-14
227,002,980,870056.0,2013-14
228,002,990,646591.51,2013-14
229,002,995,550961.0,2013-14
230,003,010,5354769.2,2013-14
231,003,020,1268614.0,2013-14
232,003,030,329258.0,2013-14
233,003,040,852148.0,2013-14
234,003,050,755161.0,2013-14
235,003,060,600221.86,2013-14
236,003,070,2026426.5,2013-14
237,003,080,653060.06,2013-14
238,003,090,1137853.0,2013-14
239,003,100,3041014.0,2013-14
240,003,110,6039963.0,2013-14
241,003,111,1054742.0,2013-14
242,003,120,3222066.0,2013-14
243,003,130,8402536.0,2013-14
244,003,132,1299359.1,2013-14
245,003,140,2900203.57,2013-14
246,003,150,495717.16,2013-14
247,003,160,1991819.42,2013-14
248,003,170,650904.42,2013-14
249,003,180,4054656.0,2013-14
250,003,181,1060135.0,2013-14
251,003,182,860124.0,2013-14
252,003,190,1931354.0,2013-14
253,003,200,792870.26,2013-14
254,003,210,530107.0,2013-14
255,003,220,326870.43,2013-14
256,003,230,3568782.34,2013-14
257,003,240,1816753.56,2013-14
258,003,241,535578.38,2013-14
259,003,250,3447125.44,2013-14
260,003,260,12207211.0,2013-14
261,003,270,905562.0,2013-14
262,003,280,1159198.0,2013-14
263,003,290,4719324.98,2013-14
264,003,291,732652.0,2013-14
265,003,292,884124.0,2013-14
266,003,300,2121998.0,2013-14
267,003,310,2256782.0,2013-14
268,003,320,8998730.0,2013-14
269,003,330,1478219.0,2013-14
270,003,340,18242655.0,2013-14
271,003,350,2035706.78,2013-14
272,003,360,7344078.0,2013-14
273,003,370,405266.75,2013-14
274,003,380,283743.61,2013-14
275,003,390,3276558.0,2013-14
276,003,400,752225.0,2013-14
277,003,410,19156217.95,2013-14
278,003,420,787168.0,2013-14
279,003,421,716750.0,2013-14
280,003,422,230540.0,2013-14
281,003,430,5182039.0,2013-14
282,003,440,1779264.0,2013-14
283,003,450,3185649.0,2013-14
284,003,460,709421.0,2013-14
285,003,470,1936466.93,2013-14
286,003,480,134439.0,2013-14
287,003,490,6149895.0,2013-14
288,003,491,1408218.0,2013-14
289,003,500,855706.0,2013-14
290,003,510,7946934.0,2013-14
291,003,520,368169.0,2013-14
292,003,530,2328600.0,2013-14
293,003,540,2138916.0,2013-14
294,003,550,2754601.8,2013-14
295,003,560,1164231.17,2013-14
296,003,570,601665.99,2013-14
297,003,580,814408.0,2013-14
298,003,590,1884098.13,2013-14
299,003,600,33882692.0,2013-14
300,003,610,474219.0,2013-14
301,003,620,975052.0,2013-14
302,003,630,4910935.0,2013-14
303,003,640,3834025.0,2013-14
304,003,650,10746792.72,2013-14
305,003,660,495417.58,2013-14
306,003,670,5959497.0,2013-14
307,003,680,1756517.0,2013-14
308,003,681,2866181.44,2013-14
309,003,690,300554.0,2013-14
310,003,700,1359150.47,2013-14
311,003,710,2045711.19,2013-14
312,003,720,424738.99,2013-14
313,003,730,1113347.25,2013-14
314,003,740,5588792.0,2013-14
315,003,750,543475.0,2013-14
316,003,760,4279026.12,2013-14
317,003,761,1110697.96,2013-14
318,003,770,1918334.0,2013-14
319,003,780,7774736.99,2013-14
320,003,790,3259492.09,2013-14
321,003,800,4681009.0,2013-14
322,003,810,2018230.0,2013-14
323,003,820,2010807.38,2013-14
324,003,821,708954.61,2013-14
325,003,830,1434731.0,2013-14
326,003,840,2063325.0,2013-14
327,003,850,1579611.0,2013-14
328,003,860,2601751.33,2013-14
329,003,861,290888.0,2013-14
330,003,862,442683.84,2013-14
331,003,870,469415.54,2013-14
332,003,880,841733.28,2013-14
333,003,890,132786.0,2013-14
334,003,900,9685743.0,2013-14
335,003,910,1582526.6,2013-14
336,003,920,36229037.18,2013-14
337,003,930,558730.0,2013-14
338,003,940,407698.0,2013-14
339,003,950,1039492.56,2013-14
340,003,960,4519670.0,2013-14
341,003,970,2316827.0,2013-14
342,003,980,2955795.88,2013-14
343,003,990,1265234.0,2013-14
344,003,995,538284.0,2013-14
345,004,550,376686.0,2013-14
346,005,010,4216119.68,2013-14
347,005,020,1137809.82,2013-14
348,005,030,427684.63,2013-14
349,005,040,982739.14,2013-14
350,005,050,623409.95,2013-14
351,005,060,831015.38,2013-14
352,005,070,1588858.47,2013-14
353,005,080,777835.49,2013-14
354,005,090,1382834.2,2013-14
