,prc,lea,expend,allotment,fiscal_year
0,001,010,60199299.14,60510242.0,2016-17
1,001,020,14428592.08,14410883.0,2016-17
2,001,030,4287567.8,4389563.0,2016-17
3,001,040,9281408.56,9736345.0,2016-17
4,001,050,9195772.16,9358291.0,2016-17
5,001,060,6289204.31,6316288.0,2016-17
6,001,070,19204113.13,19614530.0,2016-17
7,001,080,6016236.65,6115625.0,2016-17
8,001,090,13016385.18,13355141.0,2016-17
9,001,100,34298574.19,35132673.0,2016-17
10,001,110,68221633.43,68325123.0,2016-17
11,001,111,13183297.08,13507483.0,2016-17
12,001,120,35246540.53,35658293.0,2016-17
13,001,130,85327059.68,85906376.0,2016-17
14,001,132,14920537.44,14878661.0,2016-17
15,001,140,35049988.11,35546307.0,2016-17
16,001,150,5365523.53,5455838.0,2016-17
17,001,160,24052469.82,24452820.0,2016-17
18,001,170,7642715.85,8037325.0,2016-17
19,001,180,46595128.49,47763360.0,2016-17
20,001,181,11935019.12,12127804.0,2016-17
21,001,182,7812971.01,8049020.0,2016-17
22,001,190,22859044.37,22654714.0,2016-17
23,001,200,9641935.05,9765198.0,2016-17
24,001,210,5906638.66,6015339.0,2016-17
25,001,220,4094779.41,4160330.0,2016-17
26,001,230,42623512.7,43158511.0,2016-17
27,001,240,16213417.69,16703410.0,2016-17
28,001,241,6659289.84,6867990.0,2016-17
29,001,250,38228203.59,39444223.0,2016-17
30,001,260,124453972.71,126498263.0,2016-17
31,001,270,11217340.66,11485519.0,2016-17
32,001,280,15411376.3,15899646.0,2016-17
33,001,290,53023081.4,53109521.0,2016-17
34,001,291,8386768.98,8464972.0,2016-17
35,001,292,6457254.7,6648302.0,2016-17
36,001,300,17992062.64,18347709.0,2016-17
37,001,310,25348568.88,26062576.0,2016-17
38,001,320,94857617.67,95768524.0,2016-17
39,001,330,15136515.13,15627918.0,2016-17
40,001,340,154765088.14,157616682.0,2016-17
41,001,350,22221006.98,23148742.0,2016-17
42,001,360,83211370.72,85246636.0,2016-17
43,001,370,4721582.92,4856969.0,2016-17
44,001,380,3375058.21,3410894.0,2016-17
45,001,390,20898003.29,21361519.0,2016-17
46,001,400,8295647.76,8359653.0,2016-17
47,001,410,195160014.55,198980047.0,2016-17
48,001,420,6212142.19,6465642.0,2016-17
49,001,421,8448685.15,8524131.0,2016-17
50,001,422,2047272.68,2086751.0,2016-17
51,001,430,50848802.97,52431249.0,2016-17
52,001,440,19996232.85,20009410.0,2016-17
53,001,450,38761274.91,39379886.0,2016-17
54,001,460,8424148.99,8607929.0,2016-17
55,001,470,21919613.6,20581919.0,2016-17
56,001,480,2074266.92,2103500.0,2016-17
